,A,B
3937,BMPR1B,BMP5
3938,BMPR1B,BMP6
3939,BMPR1B,BMP7
3940,BMPR1B,BMP8A
3941,BMPR1B,BMP8B
3942,BMPR1B,GDF5
3943,BMPR1B,GDF6
3944,BMPR1B,GDF7
3945,TGFBR1,GDF9
3946,AMHR2,AMH
3947,BMPR1A,AMH
3948,ACVR2B,BMP5
3949,ACVR2B,BMP6
3950,ACVR2B,BMP7
3951,ACVR2B,BMP8A
3952,ACVR2B,BMP8B
3953,ACVR1B,NODAL
3954,ACVR2B,NODAL
3955,ACVR1B,MSTN
3956,ACVR2B,MSTN
3957,ACVR1B,GDF1
3958,ACVR2B,GDF1
3959,ACVR1B,GDF11
3960,ACVR2B,GDF11
3961,ACVR1B,GDF3
3962,ACVR2B,GDF3
3963,ACVR1B,GDF10
3964,ACVR2B,GDF10
3965,ACVR1C,NODAL
3966,ACVR1C,GDF1
3967,ACVR1C,GDF3
3968,ACVR2B,BMP10
3969,ACVR2B,GDF2
3970,ACVR2B,BMP2
3971,ACVR2B,BMP4
3972,ACVR2B,GDF5
3973,ACVR2B,GDF6
3974,ACVR2B,GDF7
3975,TGFBR1,MSTN
3976,TGFBR1,GDF11
3977,ACVR2A,BMP5
3978,ACVR2A,BMP6
3979,ACVR2A,BMP7
3980,ACVR2A,BMP8A
3981,ACVR2A,BMP8B
3982,ACVR2A,NODAL
3983,ACVR2A,GDF1
3984,ACVR2A,GDF11
3985,ACVR2A,GDF3
3986,ACVR2A,BMP10
3987,ACVR2A,GDF2
3988,ACVR2A,BMP2
3989,ACVR2A,BMP4
3990,ACVR2A,GDF5
3991,ACVR2A,GDF6
3992,ACVR2A,GDF7
3993,ACVR1,AMH
3994,ACVR1,TGFB1
3995,ACVR1,TGFB2
3996,ACVR1,TGFB3
3997,ABCA1,PLTP
3998,ACKR1,CCL11
3999,ACKR1,CCL13
4000,ACKR1,CCL14
4001,ACKR1,CCL17
4002,ACKR1,CCL2
4003,ACKR1,CCL5
4004,ACKR1,CXCL8
4005,ACKR1,PPBP
4006,ACKR1,CXCL1
4007,ACKR1,CXCL2
4008,ACKR2,CCL11
4009,ACKR2,CCL13
4010,ACKR2,CCL14
4011,ACKR2,CCL17
4012,ACKR2,CCL2
4013,ACKR2,CCL22
4014,ACKR2,CCL23
4015,ACKR2,CCL24
4016,ACKR2,CCL3
4017,ACKR2,CCL3L1
4018,ACKR2,CCL4
4019,ACKR2,CCL4L1
4020,ACKR2,CCL5
4021,ACKR2,CCL7
4022,ACKR2,CCL8
4023,ACKR3,CXCL11
4024,ACKR3,CXCL12
4025,ACKR4,CCL19
4026,ACKR4,CCL21
4027,ACKR4,CCL25
4028,ACKR4,CXCL13
4029,ADCYAP1R1,ADCYAP1
4030,ADGRA2,SDC1
4031,ADGRA2,SDC2
4032,ADGRB1,RTN4R
4033,ADGRB1,RTN4RL1
4034,ADGRB1,RTN4RL2
4035,ADGRB2,TAX1BP3
4036,ADGRB3,C1QL1
4037,ADGRB3,C1QL2
4038,ADGRB3,C1QL3
4039,ADGRB3,C1QL4
4040,ADGRE5,LPAR1
4041,ADGRE5,THY1
4042,ADGRG1,COL3A1
4043,ADGRG1,TGM2
4044,ADGRG6,COL4A1
4045,ADGRG6,COL4A2
4046,ADGRG6,COL4A3
4047,ADGRG6,COL4A4
4048,ADGRG6,COL4A5
4049,ADGRG6,COL4A6
4050,ADGRG6,LAMA2
4051,ADGRG6,PRNP
4052,ADGRL1,SHANK1
4053,ADGRL1,SHANK2
4054,ADGRL1,FLRT1
4055,ADGRL1,FLRT2
4056,ADGRL1,TENM1
4057,ADGRL1,TENM3
4058,ADGRL1,TENM4
4059,ADGRL1,TENM2
4060,ADGRL1,FLRT3
4061,ADGRL1,NRXN1
4062,ADGRL1,NRXN2
4063,ADGRL1,NRXN3
4064,ADGRL2,FLRT3
4065,ADGRL2,TENM1
4066,ADGRL2,TENM2
4067,ADGRL2,TENM3
4068,ADGRL2,TENM4
4069,ADGRL3,FLRT1
4070,ADGRL3,TENM1
4071,ADGRL3,TENM2
4072,ADGRL3,TENM3
4073,ADGRL3,TENM4
4074,ADGRL3,FLRT3
4075,AGTR1,AGT
4076,AGTR2,TIMP3
4077,AGTR2,AGT
4078,ALCAM,L1CAM
4079,ALCAM,CD6
4080,ALK,MDK
4081,ALK,ALKAL1
4082,ALK,PTN
4083,ALK,ALKAL2
4084,AMFR,GPI
4085,APLNR,APLN
4086,APLNR,APELA
4087,AR,SERTAD1
4088,AVPR1A,AVP
4089,AVPR1A,OXT
4090,AVPR1B,AVP
4091,AVPR1B,OXT
4092,AVPR2,OXT
4093,AVPR2,AVP
4094,AXL,GAS6
4095,AXL,PROS1
4096,BCAM,LAMA5
4097,BRS3,NMB
4098,BRS3,GRP
4099,C3AR1,C3
4100,C5AR1,RPS19
4101,C5AR2,C3
4102,CADM1,CADM1
4103,CADM3,CADM1
4104,CADM4,CADM3
4105,CALCR,CALCA
4106,CCKBR,GAST
4107,CCR1,CCL15
4108,CCR1,CCL14
4109,CCR1,CCL16
4110,CCR1,CCL23
4111,CCR1,CCL3
4112,CCR1,CCL3L1
4113,CCR1,CCL5
4114,CCR1,CCL7
4115,CCR1,CCL8
4116,CCR1,CCL26
4117,CCR10,CCL27
4118,CCR10,CCL28
4119,CCR2,DEFB103A
4120,CCR2,DEFB103B
4121,CCR2,DEFB4A
4122,CCR2,DEFB4B
4123,CCR2,CCL11
4124,CCR2,CCL13
4125,CCR2,CCL16
4126,CCR2,CCL2
4127,CCR2,CCL26
4128,CCR2,CCL7
4129,CCR2,CCL8
4130,CCR2,DEFB106A
4131,CCR2,DEFB106B
4132,CCR3,CCL15
4133,CCR3,CCL11
4134,CCR3,CCL13
4135,CCR3,CCL14
4136,CCR3,CCL24
4137,CCR3,CCL26
4138,CCR3,CCL28
4139,CCR3,CCL3L1
4140,CCR3,CCL5
4141,CCR3,CCL7
4142,CCR3,CXCL10
4143,CCR3,CXCL9
4144,CCR3,CXCL11
4145,CCR3,CCL18
4146,CCR3,CCL8
4147,CCR4,CCL22
4148,CCR4,CCL17
4149,CCR4,CCL5
4150,CCR5,CCL11
4151,CCR5,CCL14
4152,CCR5,CCL16
4153,CCR5,CCL3
4154,CCR5,CCL3L1
4155,CCR5,CCL4
4156,CCR5,CCL5
4157,CCR5,CCL8
4158,CCR5,CCL7
4159,CCR5,CCL26
4160,CCR5,CXCL11
4161,CCR6,DEFB103A
4162,CCR6,DEFB103B
4163,CCR6,CCL20
4164,CCR6,DEFB1
4165,CCR6,DEFB4A
4166,CCR6,DEFB4B
4167,CCR7,CCL19
4168,CCR7,CCL21
4169,CCR8,CCL1
4170,CCR8,CCL16
4171,CCR8,CCL18
4172,CCR9,CCL25
4173,CCRL2,RARRES2
4174,CCRL2,CCL19
4175,CD160,HLA-C
4176,CD160,HLA-G
4177,CD177,PECAM1
4178,CD1D,CEACAM5
4179,CD2,CD59
4180,CD2,CD58
4181,CD2,CD48
4182,CD200R1,CD200
4183,CD209,CEACAM1
4184,CD22,PTPRC
4185,CD226,PVR
4186,CD226,NECTIN2
4187,CD244,CD48
4188,CD248,MMRN2
4189,CD27,CD70
4190,CD28,CD80
4191,CD28,CD86
4192,CD28,ICOSLG
4193,CD320,JAML
4194,CD33,C1QA
4195,CD36,SAA1
4196,CD36,LY6H
4197,CD36,NRN1
4198,CD36,SCRG1
4199,CD36,VWC2L
4200,CD38,PECAM1
4201,CD4,IL16
4202,CD40,CD40LG
4203,CD40,C4BPA
4204,CD44,VCAN
4205,CD44,SPP1
4206,CD44,SIGLEC15
4207,CD46,JAG1
4208,CD5,CD72
4209,CD55,ADGRE5
4210,CD69,LGALS1
4211,CD72,SEMA4D
4212,CD74,MIF
4213,CD74,APP
4214,CD80,CD274
4215,CD84,CD84
4216,CD8A,CEACAM5
4217,CD9,IL16
4218,CD93,C1QA
4219,CD93,MMRN2
4220,CD96,PVR
4221,CD96,NECTIN1
4222,CD96,NECTIN2
4223,CDH2,FCER2
4224,CEACAM1,CEACAM1
4225,CEACAM5,CEACAM1
4226,CEACAM6,CEACAM1
4227,CEACAM6,CEACAM6
4228,CEACAM8,CEACAM1
4229,CEACAM8,CEACAM6
4230,CELSR2,CELSR2
4231,CELSR3,CELSR3
4232,CHL1,CHL1
4233,CLEC14A,MMRN2
4234,CMKLR1,RARRES2
4235,COL13A1,HSPG2
4236,CR1,C3
4237,CR2,C3
4238,CR2,FCER2
4239,CRTAM,CADM1
4240,CSF3R,CSF3
4241,CSPG4,C1QA
4242,CSPG4,CD44
4243,CSPG4,FGF1
4244,CTLA4,CD80
4245,CTLA4,ICOSLG
4246,CTLA4,CD86
4247,CX3CR1,CX3CL1
4248,CX3CR1,CCL26
4249,CXADR,JAML
4250,CXCR1,CXCL1
4251,CXCR1,CXCL8
4252,CXCR1,CXCL6
4253,CXCR1,PPBP
4254,CXCR2,CXCL8
4255,CXCR2,CXCL5
4256,CXCR2,CXCL6
4257,CXCR2,CXCL1
4258,CXCR2,PPBP
4259,CXCR2,CXCL2
4260,CXCR2,CXCL3
4261,CXCR2,MIF
4262,CXCR3,CXCL10
4263,CXCR3,CXCL11
4264,CXCR3,CXCL9
4265,CXCR3,CCL11
4266,CXCR3,PF4V1
4267,CXCR3,PF4
4268,CXCR3,CXCL13
4269,CXCR4,CXCL12
4270,CXCR4,CXCL14
4271,CXCR4,MIF
4272,CXCR5,CXCL13
4273,CXCR6,CXCL16
4274,DCBLD2,SEMA4B
4275,DCC,ICAM5
4276,DCC,IGFBP7
4277,DCC,IGFBPL1
4278,DCC,NTN1
4279,DCC,LTF
4280,DCC,PSG7
4281,DCC,WFIKKN2
4282,DDR1,COL4A1
4283,DDR1,COL4A2
4284,DDR1,COL4A3
4285,DDR1,COL4A4
4286,DDR1,COL4A5
4287,DDR1,COL4A6
4288,DDR1,COL5A1
4289,DDR1,COL5A2
4290,DDR1,COL5A3
4291,DDR1,COL6A1
4292,DDR1,COL6A2
4293,DDR1,COL6A3
4294,DDR1,COL6A5
4295,DDR1,COL6A6
4296,DDR1,COL8A1
4297,DDR1,COL1A1
4298,DDR1,COL1A2
4299,DDR1,COL2A1
4300,DDR1,COL3A1
4301,DDR2,COL1A1
4302,DDR2,COL1A2
4303,DDR2,COL3A1
4304,DIP2A,FSTL1
4305,DSCAM,PSG7
4306,DSCAM,PSG9
4307,DSG1,DSC1
4308,DSG1,DSC2
4309,DSG1,DSC3
4310,DSG2,DSC1
4311,DSG2,DSC2
4312,DSG2,DSC3
4313,DSG3,DSC1
4314,DSG3,DSC2
4315,DSG3,DSC3
4316,DSG4,DSC1
4317,DSG4,DSC2
4318,DSG4,DSC3
4319,EDA2R,EDA
4320,EDAR,EDA
4321,EDNRA,EDN1
4322,EDNRA,EDN2
4323,EDNRA,EDN3
4324,EDNRB,EDN1
4325,EDNRB,EDN2
4326,EDNRB,EDN3
4327,EGFR,AREG
4328,EGFR,BTC
4329,EGFR,EGF
4330,EGFR,EREG
4331,EGFR,DCN
4332,EGFR,EFEMP1
4333,EGFR,MIF
4334,EGFR,TGFA
4335,EGFR,EPGN
4336,EGFR,ANG
4337,EGFR,HBEGF
4338,EGFR,SPINK1
4339,ENO1,APOB
4340,EPHA1,EFNA1
4341,EPHA1,EFNA2
4342,EPHA1,EFNA3
4343,EPHA1,EFNA4
4344,EPHA1,EFNA5
4345,EPHA2,EFNB1
4346,EPHA2,EFNA1
4347,EPHA2,EFNA2
4348,EPHA2,EFNA3
4349,EPHA2,EFNA4
4350,EPHA2,EFNA5
4351,EPHA3,EFNA1
4352,EPHA3,EFNA2
4353,EPHA3,EFNA3
4354,EPHA3,EFNA4
4355,EPHA3,EFNA5
4356,EPHA4,EFNA1
4357,EPHA4,EFNA2
4358,EPHA4,EFNA3
4359,EPHA4,EFNA4
4360,EPHA4,EFNA5
4361,EPHA4,EFNB1
4362,EPHA4,EFNB2
4363,EPHA4,EFNB3
4364,EPHA5,EFNA1
4365,EPHA5,EFNA2
4366,EPHA5,EFNA3
4367,EPHA5,EFNA4
4368,EPHA5,EFNA5
4369,EPHA7,EFNA1
4370,EPHA7,EFNA2
4371,EPHA7,EFNA3
4372,EPHA7,EFNA4
4373,EPHA7,EFNA5
4374,EPHA8,EFNA1
4375,EPHA8,EFNA2
4376,EPHA8,EFNA3
4377,EPHA8,EFNA4
4378,EPHA8,EFNA5
4379,EPHB1,EFNB1
4380,EPHB1,EFNB2
4381,EPHB1,EFNB3
4382,EPHB2,EFNA5
4383,EPHB2,EFNB1
4384,EPHB2,EFNB2
4385,EPHB2,EFNB3
4386,EPHB3,EFNB1
4387,EPHB3,EFNB2
4388,EPHB3,EFNB3
4389,EPHB4,EPO
4390,EPHB4,EFNB1
4391,EPHB4,EFNB2
4392,EPHB4,EFNB3
4393,EPHB6,EFNB1
4394,EPHB6,EFNB2
4395,EPHB6,EFNB3
4396,ERBB2,TGFA
4397,ERBB2,HBEGF
4398,ERBB2,EFNB1
4399,ERBB3,NRG2
4400,ERBB3,L1CAM
4401,ERBB4,BTC
4402,ERBB4,EREG
4403,ERBB4,NRG4
4404,ERBB4,TGFA
4405,ERBB4,DCN
4406,ERBB4,HBEGF
4407,ERBB4,L1CAM
4408,ESAM,ESAM
4409,F11R,F11R
4410,FAS,FASLG
4411,FGFR1,NCAM1
4412,FGFR1,FGF1
4413,FGFR1,FGF10
4414,FGFR1,FGF16
4415,FGFR1,FGF17
4416,FGFR1,FGF18
4417,FGFR1,FGF19
4418,FGFR1,FGF20
4419,FGFR1,FGF21
4420,FGFR1,FGF23
4421,FGFR1,FGF3
4422,FGFR1,FGF4
4423,FGFR1,FGF5
4424,FGFR1,FGF6
4425,FGFR1,FGF8
4426,FGFR1,FGF9
4427,FGFR2,FGF1
4428,FGFR2,FGF10
4429,FGFR2,FGF16
4430,FGFR2,FGF17
4431,FGFR2,FGF18
4432,FGFR2,FGF19
4433,FGFR2,FGF2
4434,FGFR2,FGF20
4435,FGFR2,FGF22
4436,FGFR2,FGF3
4437,FGFR2,FGF4
4438,FGFR2,FGF5
4439,FGFR2,FGF6
4440,FGFR2,FGF7
4441,FGFR2,FGF8
4442,FGFR2,FGF9
4443,FGFR2,FCER2
4444,FGFR3,BGN
4445,FGFR3,FGF1
4446,FGFR3,FGF16
4447,FGFR3,FGF17
4448,FGFR3,FGF18
4449,FGFR3,FGF19
4450,FGFR3,FGF2
4451,FGFR3,FGF20
4452,FGFR3,FGF21
4453,FGFR3,FGF23
4454,FGFR3,FGF4
4455,FGFR3,FGF5
4456,FGFR3,FGF6
4457,FGFR3,FGF8
4458,FGFR3,FGF9
4459,FGFR3,IL1RAPL2
4460,FGFR4,FGF1
4461,FGFR4,FGF16
4462,FGFR4,FGF17
4463,FGFR4,FGF18
4464,FGFR4,FGF19
4465,FGFR4,FGF2
4466,FGFR4,FGF20
4467,FGFR4,FGF23
4468,FGFR4,FGF4
4469,FGFR4,FGF5
4470,FGFR4,FGF6
4471,FGFR4,FGF8
4472,FGFR4,FGF9
4473,FGFR4,SDC2
4474,FGFR4,TGFBR3
4475,FGFRL1,FGF22
4476,FGFRL1,FGF8
4477,FGFRL1,FGF3
4478,FGFRL1,FGF4
4479,FLT3,FLT3LG
4480,FLT4,VEGFC
4481,FLT4,VEGFD
4482,FPR1,ANXA1
4483,FPR2,CCL23
4484,FPR2,APP
4485,FPR2,ANXA1
4486,FPR2,SAA1
4487,FPR3,ANXA1
4488,GALR2,SPX
4489,GALR2,GAL
4490,GALR3,SPX
4491,GFRAL,GDF15
4492,GHR,GH1
4493,GHR,GH2
4494,GPR1,RARRES2
4495,GPR37,PSAP
4496,GPR37L1,PSAP
4497,GPR75,CCL5
4498,GRPR,NMB
4499,GRPR,GRP
4500,GUCY2C,GUCA2A
4501,HAVCR1,HAVCR1
4502,HAVCR2,LGALS9
4503,HAVCR2,HMGB1
4504,HAVCR2,CEACAM1
4505,HRH4,CCL16
4506,ICAM3,CLEC4M
4507,ICAM3,CD209
4508,ICOS,ICOSLG
4509,IFNGR1,CD93
4510,IGDCC3,ICAM5
4511,IGDCC3,IGFBP7
4512,IGDCC3,IGFBPL1
4513,IGDCC3,LTF
4514,IGDCC3,WFIKKN2
4515,IGDCC4,ICAM5
4516,IGDCC4,IGFBP7
4517,IGDCC4,IGFBPL1
4518,IGDCC4,LTF
4519,IGDCC4,WFIKKN2
4520,IGF1R,INS
4521,IGF1R,IGF2
4522,IGF1R,IGF1
4523,IGF2R,GZMB
4524,IGF2R,IGF2
4525,IL13RA2,IL13
4526,IL17RB,IL17B
4527,IL17RB,IL25
4528,IL1R1,IL1RN
4529,IL1R2,IL1RN
4530,IL1RAPL1,IL1F10
4531,IL1RAPL2,IL1F10
4532,IL1RL2,IL36RN
4533,IL1RL2,IL1F10
4534,IL22RA2,IL22
4535,IL6R,ICAM5
4536,IL6R,IGFBP7
4537,IL6R,IGFBPL1
4538,IL6R,LTF
4539,IL6R,WFIKKN2
4540,IL6R,CD248
4541,IL6ST,CD1B
4542,INSR,INS
4543,ISLR2,ICAM5
4544,ISLR2,IGFBP7
4545,ISLR2,IGFBPL1
4546,ISLR2,LEP
4547,ISLR2,LTF
4548,ISLR2,WFIKKN2
4549,ITGA3,CALR
4550,ITGB3,IL32
4551,JAM2,F11R
4552,JAM2,JAM2
4553,JAM3,JAM2
4554,JAM3,JAM3
4555,KDR,VEGFC
4556,KDR,TIMP3
4557,KDR,VEGFD
4558,KDR,DCN
4559,KDR,BSG
4560,KDR,GREM1
4561,KIR2DL1,HLA-C
4562,KIR2DL2,HLA-C
4563,KIR2DL3,HLA-C
4564,KIR2DL4,HLA-G
4565,KIR2DL5A,TAFA2
4566,KIR2DL5A,PVR
4567,KIR2DL5B,PVR
4568,KIR2DS1,HLA-C
4569,KIR2DS2,HLA-A
4570,KIR2DS2,HLA-C
4571,KIR2DS4,HLA-A
4572,KIR2DS4,HLA-C
4573,KIR3DL1,HLA-F
4574,KIR3DL1,HLA-B
4575,KIR3DL1,HLA-A
4576,KIR3DL1,TAFA2
4577,KIR3DL2,HLA-B
4578,KIR3DL2,HLA-F
4579,KIR3DL2,HLA-A
4580,KIR3DL2,TAFA2
4581,KIR3DL3,HHLA2
4582,KIR3DL3,TAFA2
4583,KIR3DS1,HLA-F
4584,KIR3DS1,HLA-B
4585,KISS1R,KISS1
4586,KIT,KITLG
4587,KLRB1,CLEC2D
4588,KLRF1,CLEC2B
4589,KLRF2,CLEC2A
4590,KLRG1,CDH1
4591,L1CAM,L1CAM
4592,L1CAM,CHL1
4593,LAG3,CLEC4G
4594,LAG3,LGALS3
4595,LAG3,FGL1
4596,LAG3,HLA-DPA1
4597,LAG3,HLA-DPA2
4598,LAG3,HLA-DPA3
4599,LAG3,HLA-DPB1
4600,LAG3,HLA-DPB2
4601,LAG3,HLA-DQA1
4602,LAG3,HLA-DQA2
4603,LAG3,HLA-DQB1
4604,LAG3,HLA-DQB2
4605,LAG3,HLA-DQB3
4606,LAG3,HLA-DRA
4607,LAG3,HLA-DRB1
4608,LAG3,HLA-DRB2
4609,LAG3,HLA-DPB1
4610,LAG3,HLA-DRB4
4611,LAG3,HLA-DRB5
4612,LAG3,HLA-DRB6
4613,LAG3,HLA-DRB7
4614,LAG3,HLA-DRB8
4615,LAG3,HLA-DRB9
4616,LAIR1,SFTPD
4617,LAIR1,LAIR1
4618,LDLR,LRPAP1
4619,LDLR,APOB
4620,LDLR,APOE
4621,LEPR,LEP
4622,LGALS1,LGALS1
4623,LGR4,RSPO1
4624,LGR4,RSPO2
4625,LGR4,RSPO3
4626,LGR4,RSPO4
4627,LGR5,RSPO1
4628,LGR5,RSPO2
4629,LGR5,RSPO3
4630,LGR5,RSPO4
4631,LGR6,RSPO1
4632,LGR6,RSPO2
4633,LGR6,RSPO3
4634,LGR6,RSPO4
4635,LIFR,FAM3C
4636,LILRA4,BST2
4637,LILRB1,HLA-F
4638,LILRB1,HLA-G
4639,LILRB1,HLA-A
4640,LILRB1,HLA-B
4641,LILRB1,HLA-C
4642,LILRB2,HLA-G
4643,LILRB2,CD1D
4644,LILRB2,SEMA4A
4645,LILRB2,HLA-F
4646,LILRB2,HLA-C
4647,LILRB4,LAIR1
4648,LMBR1L,LCN1
4649,LRP1,SERPINE1
4650,LRP1,MDK
4651,LRP2,APOB
4652,LRP4,DKK1
4653,LRP4,SOST
4654,LRP5,SOST
4655,LRP5,DKK1
4656,LRP5,DKK2
4657,LRP6,SOST
4658,LRP8,LRPAP1
4659,LRP8,RELN
4660,LSR,APOB
4661,LSR,APOE
4662,LTBR,TNFSF14
4663,LTK,ALKAL1
4664,LTK,ALKAL2
4665,LY9,LY9
4666,MCAM,MCAM
4667,MCAM,CNTN1
4668,MERTK,GAS6
4669,MERTK,PROS1
4670,MET,HGF
4671,MET,DCN
4672,MFRP,PTN
4673,MPL,THPO
4674,MPZL1,MPZL1
4675,MRGPRX2,ADM
4676,MST1R,MST1
4677,MUC1,SIGLEC9
4678,NCR2,KMT2E
4679,NCR3,NCR3LG1
4680,NCR3,BAG6
4681,NECTIN1,CADM3
4682,NECTIN3,CADM3
4683,NECTIN3,CADM1
4684,NEO1,ICAM5
4685,NEO1,IGFBP7
4686,NEO1,IGFBPL1
4687,NEO1,LTF
4688,NGFR,CD80
4689,NMBR,NMB
4690,NMBR,GRP
4691,NOTCH1,CNTN1
4692,NOTCH1,DLK1
4693,NOTCH1,DLL3
4694,NOTCH1,DLL1
4695,NOTCH1,JAG1
4696,NOTCH1,DLL4
4697,NOTCH1,JAG2
4698,NOTCH2,CNTN1
4699,NOTCH2,DLL3
4700,NOTCH2,JAG1
4701,NOTCH2,JAG2
4702,NOTCH2,DLL1
4703,NOTCH2,DLK1
4704,NOTCH2,DLL4
4705,NOTCH2,MDK
4706,NOTCH3,DLL3
4707,NOTCH3,JAG1
4708,NOTCH3,JAG2
4709,NOTCH3,DLL1
4710,NOTCH3,DLK1
4711,NOTCH3,DLL4
4712,NOTCH4,DLL1
4713,NOTCH4,DLL3
4714,NOTCH4,DLL4
4715,NOTCH4,JAG1
4716,NOTCH4,JAG2
4717,NOTCH4,DLK1
4718,NPR3,OSTN
4719,NRCAM,CNTN1
4720,NRP1,PGF
4721,NRP1,VEGFB
4722,NRP1,VEGFA
4723,NRP1,C3
4724,NRP1,C4A
4725,NRP1,HGF
4726,NRP1,FGF1
4727,NRP1,FGF2
4728,NRP1,FGF4
4729,NRP1,FGF7
4730,NRP1,FGFR1
4731,NRP1,SEMA4A
4732,NRP2,VEGFA
4733,NRP2,PGF
4734,NRP2,VEGFC
4735,NRP2,SEMA3C
4736,NRP2,SEMA3F
4737,NRXN1,NLGN1
4738,NTRK1,TIE1
4739,OLR1,SLITRK4
4740,OXTR,AVP
4741,OXTR,OXT
4742,PDCD1,CD274
4743,PDCD1,PDCD1LG2
4744,PDGFRA,PDGFA
4745,PDGFRA,PDGFB
4746,PDGFRA,PDGFC
4747,PDGFRB,PDGFD
4748,PDGFRB,PDGFB
4749,PDPN,CLEC1B
4750,PDPN,EZR
4751,PDPN,MSN
4752,PIGR,APLP2
4753,PILRA,CD99
4754,PITPNM3,CCL18
4755,PLAUR,PLAU
4756,PLG,MELTF
4757,PLGRKT,PLG
4758,PLSCR1,SLPI
4759,PLSCR4,SLPI
4760,PLXDC1,SERPINF1
4761,PLXDC2,SERPINF1
4762,PLXNA4,SEMA6A
4763,PLXNA4,SEMA6B
4764,PLXNA4,APLP2
4765,PLXNA4,APP
4766,PLXNB1,SEMA4A
4767,PLXNB2,ANG
4768,PLXNB2,SEMA4D
4769,PLXNB2,SEMA4A
4770,PLXNB2,SEMA4C
4771,PLXNB3,SEMA4A
4772,PLXNB3,SEMA4D
4773,PLXNC1,SEMA7A
4774,PLXND1,SEMA4A
4775,PLXND1,SEMA3E
4776,PRLR,PRL
4777,PRTG,ICAM5
4778,PRTG,IGFBP7
4779,PRTG,IGFBPL1
4780,PRTG,LTF
4781,PRTG,WFIKKN2
4782,PTCH1,SHH
4783,PTCH1,IHH
4784,PTCH2,IHH
4785,PTH1R,PTH
4786,PTH1R,PTHLH
4787,PTH2R,PTH
4788,PTH2R,PTHLH
4789,PTPRA,GAS1
4790,PTPRC,SEMA4D
4791,PTPRC,LGALS1
4792,PTPRC,MRC1
4793,PTPRD,IL1RAP
4794,PTPRD,LRFN1
4795,PTPRD,LRFN2
4796,PTPRD,LRFN3
4797,PTPRD,LRFN4
4798,PTPRD,LRFN5
4799,PTPRD,OMG
4800,PTPRF,LRFN1
4801,PTPRF,LRFN2
4802,PTPRF,LRFN4
4803,PTPRF,LRFN5
4804,PTPRF,OMG
4805,PTPRF,IL1RAP
4806,PTPRJ,SDC2
4807,PTPRK,PTPRK
4808,PTPRM,PTPRM
4809,PTPRM,DSCAM
4810,PTPRM,DSCAML1
4811,PTPRS,IL1RAP
4812,PTPRS,IL1RAPL1
4813,PTPRS,IL1RAPL2
4814,PTPRS,LRFN1
4815,PTPRS,LRFN2
4816,PTPRS,LRFN3
4817,PTPRS,LRFN4
4818,PTPRS,LRFN5
4819,PTPRS,OMG
4820,PTPRT,DSCAM
4821,PTPRT,DSCAML1
4822,PTPRU,OMG
4823,PTPRU,OSTN
4824,PTPRZ1,CNTN1
4825,PTPRZ1,TNC
4826,PTPRZ1,IL34
4827,PTPRZ1,PTN
4828,PVR,NECTIN3
4829,PVRIG,NECTIN2
4830,ROBO1,SLIT1
4831,ROBO2,SLIT1
4832,ROBO4,ANXA2
4833,ROR1,WNT5A
4834,ROR1,PTN
4835,ROR2,WNT1
4836,ROR2,WNT3
4837,ROR2,WNT3A
4838,ROR2,WNT5A
4839,SCARB1,APOE
4840,SDC2,TGFB1
4841,SCTR,ADCYAP1
4842,SDC1,HGF
4843,SDC1,CCL5
4844,SDC1,FGF2
4845,SDC2,CXCL8
4846,SDC2,FGF2
4847,SDC2,TNFSF13
4848,SDC4,MDK
4849,SDC4,TFPI
4850,SDC4,TNC
4851,SDC4,CCL5
4852,SDC4,CCN1
4853,SDC4,RSPO3
4854,SDC4,VTN
4855,SDC4,FGF2
4856,SDC4,THBS1
4857,SELE,CEACAM1
4858,SELE,GLG1
4859,SELE,SERPING1
4860,SELE,PODXL2
4861,SELE,BSG
4862,SELE,SELPLG
4863,SELE,CD34
4864,SELE,ANPEP
4865,SELE,CD44
4866,SELL,MUC7
4867,SELL,PODXL
4868,SELL,CFH
4869,SELL,SELPLG
4870,SELL,CD34
4871,SELL,PODXL2
4872,SELL,VCAN
4873,SELP,SELPLG
4874,SELP,CD24
4875,SELP,PODXL2
4876,SELP,CD34
4877,SELP,SERPING1
4878,SELP,VCAN
4879,SIGIRR,IL1F10
4880,SIGLEC10,CD52
4881,SIGLEC10,CD24
4882,SIGLEC5,SELPLG
4883,SIRPA,SFTPD
4884,SIRPA,CD47
4885,SIRPG,CD47
4886,SLAMF1,SLAMF1
4887,SLAMF6,SLAMF6
4888,SMOC2,SMOC1
4889,SORCS3,NGF
4890,SORL1,LRPAP1
4891,SORT1,LRPAP1
4892,SORT1,GRN
4893,SPN,ICAM1
4894,SPN,SIGLEC1
4895,STX1A,TXLNA
4896,STX3,TXLNA
4897,STX4,TXLNA
4898,TEK,ANGPT1
4899,TEK,ANGPT2
4900,TEK,ANGPT4
4901,TIE1,LECT2
4902,TIGIT,NECTIN3
4903,TIGIT,NECTIN2
4904,TIGIT,PVR
4905,TLR2,SFTPA1
4906,TLR2,SFTPA2
4907,TLR2,RNASE2
4908,TLR2,DCN
4909,TLR2,BGN
4910,TLR2,PRG4
4911,TLR2,VCAN
4912,TLR2,ANXA2
4913,TLR4,S100A8
4914,TLR4,DEFB4A
4915,TLR4,DEFB4B
4916,TLR4,ZG16B
4917,TLR4,DCN
4918,TLR4,BGN
